===База данных gkh-inform74

== Структура таблицы streets8

|------
|Столбец|Тип|Null|По умолчанию
|------
|**concat**|varchar(50)|Да|NULL
|geo|varchar(25)|Да|NULL
|priority|tinyint(1)|Нет|1
|//**id**//|int(11)|Нет|
== Дамп данных таблицы streets8

|1-й Аэропорт, 1-я Увельская улица, 1|55.291244, 61.512876|1|1
|1-й Аэропорт, 1-я Увельская улица, 10|55.290326, 61.519344|1|2
|1-й Аэропорт, 1-я Увельская улица, 11|55.29108, 61.515957|1|3
|1-й Аэропорт, 1-я Увельская улица, 12|55.290331, 61.51911|1|4
|1-й Аэропорт, 1-я Увельская улица, 13|55.29089, 61.516289|1|5
|1-й Аэропорт, 1-я Увельская улица, 15|55.290875, 61.516541|1|6
|1-й Аэропорт, 1-я Увельская улица, 17|55.291018, 61.516954|1|7
|1-й Аэропорт, 1-я Увельская улица, 18|55.290398, 61.518284|1|8
|1-й Аэропорт, 1-я Увельская улица, 19|55.290972, 61.517295|1|9
|1-й Аэропорт, 1-я Увельская улица, 21|55.290782, 61.517807|1|10
|1-й Аэропорт, 1-я Увельская улица, 22|55.290311, 61.519622|1|11
|1-й Аэропорт, 1-я Увельская улица, 23А|55.290736, 61.518733|1|12
|1-й Аэропорт, 1-я Увельская улица, 24|55.290285, 61.519972|1|13
|1-й Аэропорт, 1-я Увельская улица, 26|55.290259, 61.520332|1|14
|1-й Аэропорт, 1-я Увельская улица, 27|55.290721, 61.518939|1|15
|1-й Аэропорт, 1-я Увельская улица, 29|55.29068, 61.519487|1|16
|1-й Аэропорт, 1-я Увельская улица, 3|55.290998, 61.514052|1|17
|1-й Аэропорт, 1-я Увельская улица, 33|55.290623, 61.520089|1|18
|1-й Аэропорт, 1-я Увельская улица, 35|55.290598, 61.520413|1|19
|1-й Аэропорт, 1-я Увельская улица, 37|55.290593, 61.520637|1|20
|1-й Аэропорт, 1-я Увельская улица, 39|55.290577, 61.52097|1|21
|1-й Аэропорт, 1-я Увельская улица, 4|55.290746, 61.518346|1|22
|1-й Аэропорт, 1-я Увельская улица, 5|55.29108, 61.514663|1|23
|1-й Аэропорт, 1-я Увельская улица, 6|55.290372, 61.518625|1|24
|1-й Аэропорт, 1-я Увельская улица, 7|55.291075, 61.515337|1|25
|1-й Аэропорт, 1-я Увельская улица, 8|55.290347, 61.518903|1|26
|1-й Аэропорт, 1-я Увельская улица, 9|55.291008, 61.515589|1|27
|1-й Аэропорт, 2-я Увельская улица, 1|55.289193, 61.520116|1|28
|1-й Аэропорт, 2-я Увельская улица, 10|55.289978, 61.518778|1|29
|1-й Аэропорт, 2-я Увельская улица, 11|55.289311, 61.518409|1|30
|1-й Аэропорт, 2-я Увельская улица, 12|55.290003, 61.518499|1|31
|1-й Аэропорт, 2-я Увельская улица, 13|55.289332, 61.518005|1|32
|1-й Аэропорт, 2-я Увельская улица, 14|55.290039, 61.518185|1|33
|1-й Аэропорт, 2-я Увельская улица, 2|55.289803, 61.520233|1|34
|1-й Аэропорт, 2-я Увельская улица, 3|55.289239, 61.519721|1|35
|1-й Аэропорт, 2-я Увельская улица, 4|55.289624, 61.519847|1|36
|1-й Аэропорт, 2-я Увельская улица, 5|55.28925, 61.51938|1|37
|1-й Аэропорт, 2-я Увельская улица, 6|55.289875, 61.51946|1|38
|1-й Аэропорт, 2-я Увельская улица, 7|55.289285, 61.519011|1|39
|1-й Аэропорт, 2-я Увельская улица, 8|55.289926, 61.519191|1|40
|1-й Аэропорт, 2-я Увельская улица, 9|55.289291, 61.518697|1|41
|1-й Аэропорт, 2-я Щучанская улица, 16|55.288337, 61.525254|1|42
|1-й Аэропорт, 2-я Щучанская улица, 20|55.28824, 61.526|1|43
|1-й Аэропорт, 2-я Щучанская улица, 24|55.288117, 61.526925|1|44
|1-й Аэропорт, 2-я Щучанская улица, 26|55.288875, 61.523736|1|45
|1-й Аэропорт, 2-я Щучанская улица, 27|55.288486, 61.524114|1|46
|1-й Аэропорт, 2-я Щучанская улица, 3|55.288957, 61.522146|1|47
|1-й Аэропорт, 2-я Щучанская улица, 4|55.288593, 61.522901|1|48
|1-й Аэропорт, 2-я Щучанская улица, 5|55.289239, 61.522748|1|49
|1-й Аэропорт, 2-я Щучанская улица, 6|55.288537, 61.523566|1|50
|1-й Аэропорт, 33|55.297877, 61.512597|1|51
|1-й Аэропорт, 33/1|55.296841, 61.513343|1|52
|1-й Аэропорт, 33/2|55.297528, 61.518221|1|53
|1-й Аэропорт, Взлётная улица, 1|55.29049, 61.521401|1|54
|1-й Аэропорт, Взлётная улица, 10|55.289696, 61.523072|1|55
|1-й Аэропорт, Взлётная улица, 11|55.290121, 61.522901|1|56
|1-й Аэропорт, Взлётная улица, 12|55.28966, 61.523215|1|57
|1-й Аэропорт, Взлётная улица, 13|55.290065, 61.523054|1|58
|1-й Аэропорт, Взлётная улица, 14|55.289624, 61.523422|1|59
|1-й Аэропорт, Взлётная улица, 15|55.289993, 61.523314|1|60
|1-й Аэропорт, Взлётная улица, 16|55.289578, 61.523593|1|61
|1-й Аэропорт, Взлётная улица, 17|55.289896, 61.523835|1|62
|1-й Аэропорт, Взлётная улица, 18|55.289521, 61.523844|1|63
|1-й Аэропорт, Взлётная улица, 20|55.289429, 61.524168|1|64
|1-й Аэропорт, Взлётная улица, 21|55.289742, 61.524455|1|65
|1-й Аэропорт, Взлётная улица, 22|55.289275, 61.524715|1|66
|1-й Аэропорт, Взлётная улица, 23|55.28966, 61.52476|1|67
|1-й Аэропорт, Взлётная улица, 28|55.288973, 61.525847|1|68
|1-й Аэропорт, Взлётная улица, 3|55.290418, 61.521652|1|69
|1-й Аэропорт, Взлётная улица, 30|55.28888, 61.526099|1|70
|1-й Аэропорт, Взлётная улица, 31|55.289285, 61.526189|1|71
|1-й Аэропорт, Взлётная улица, 32|55.288845, 61.526431|1|72
|1-й Аэропорт, Взлётная улица, 33|55.289173, 61.526692|1|73
|1-й Аэропорт, Взлётная улица, 34|55.288763, 61.526764|1|74
|1-й Аэропорт, Взлётная улица, 35|55.28908, 61.526988|1|75
|1-й Аэропорт, Взлётная улица, 36|55.288655, 61.527069|1|76
|1-й Аэропорт, Взлётная улица, 37|55.289004, 61.527312|1|77
|1-й Аэропорт, Взлётная улица, 38|55.288629, 61.527312|1|78
|1-й Аэропорт, Взлётная улица, 39|55.288916, 61.527563|1|79
|1-й Аэропорт, Взлётная улица, 40|55.288352, 61.527761|1|80
|1-й Аэропорт, Взлётная улица, 41|55.288757, 61.52812|1|81
|1-й Аэропорт, Взлётная улица, 43|55.288701, 61.528363|1|82
|1-й Аэропорт, Взлётная улица, 44|55.288332, 61.528111|1|83
|1-й Аэропорт, Взлётная улица, 46|55.288245, 61.528713|1|84
|1-й Аэропорт, Взлётная улица, 47|55.288737, 61.529027|1|85
|1-й Аэропорт, Взлётная улица, 49|55.288634, 61.529288|1|86
|1-й Аэропорт, Взлётная улица, 5|55.290347, 61.521913|1|87
|1-й Аэропорт, Взлётная улица, 7|55.29027, 61.522191|1|88
|1-й Аэропорт, Взлётная улица, 8|55.289783, 61.522811|1|89
|1-й Аэропорт, Взлётная улица, 9|55.290162, 61.522613|1|90
|1-й Аэропорт, Уйская улица, 10|55.29007, 61.517628|1|91
|1-й Аэропорт, Уйская улица, 11|55.289152, 61.517448|1|92
|1-й Аэропорт, Уйская улица, 12|55.28986, 61.517619|1|93
|1-й Аэропорт, Уйская улица, 16|55.289311, 61.517502|1|94
|1-й Аэропорт, Уйская улица, 17А|55.287409, 61.520763|1|95
|1-й Аэропорт, Уйская улица, 19|55.287527, 61.51938|1|96
|1-й Аэропорт, Уйская улица, 19А|55.287548, 61.518823|1|97
|1-й Аэропорт, Уйская улица, 3|55.289291, 61.516137|1|98
|1-й Аэропорт, Уйская улица, 4|55.290429, 61.517736|1|99
|1-й Аэропорт, Уйская улица, 7|55.289562, 61.517556|1|100
|1-й Аэропорт, Уйская улица, 7А|55.287814, 61.515121|1|101
|1-й Аэропорт, Уйская улица, 8|55.290254, 61.517691|1|102
|1-й Аэропорт, Уйская улица, 9|55.287127, 61.515409|1|103
|1-й Аэропорт, Щучанская улица, 1/2|55.290229, 61.520817|1|104
|1-й Аэропорт, Щучанская улица, 11|55.288158, 61.519406|1|105
|1-й Аэропорт, Щучанская улица, 13|55.288168, 61.519011|1|106
|1-й Аэропорт, Щучанская улица, 14|55.288973, 61.520475|1|107
|1-й Аэропорт, Щучанская улица, 15|55.288024, 61.521293|1|108
|1-й Аэропорт, Щучанская улица, 16|55.288393, 61.519874|1|109
|1-й Аэропорт, Щучанская улица, 17|55.288035, 61.520341|1|110
|1-й Аэропорт, Щучанская улица, 18|55.288065, 61.520646|1|111
|1-й Аэропорт, Щучанская улица, 1А|55.289629, 61.52132|1|112
|1-й Аэропорт, Щучанская улица, 21/1|55.288117, 61.519963|1|113
|1-й Аэропорт, Щучанская улица, 25Б|55.287788, 61.518832|1|114
|1-й Аэропорт, Щучанская улица, 3|55.289501, 61.521266|1|115
|1-й Аэропорт, Щучанская улица, 3А|55.289311, 61.521194|1|116
|1-й Аэропорт, Щучанская улица, 4|55.289983, 61.520781|1|117
|1-й Аэропорт, Щучанская улица, 5|55.289075, 61.521095|1|118
|1-й Аэропорт, Щучанская улица, 6|55.289762, 61.520754|1|119
|1-й Аэропорт, Щучанская улица, 7|55.288911, 61.521095|1|120
|1-й Аэропорт, Щучанская улица, 8|55.289567, 61.520718|1|121
|1-й Аэропорт, Щучанская улица, 9А|55.28846, 61.521392|1|122
|1-й Белорецкий переулок, 1|55.119595, 61.374697|1|123
|1-й Белорецкий переулок, 10|55.119167, 61.373439|1|124
|1-й Белорецкий переулок, 11|55.118894, 61.373619|1|125
|1-й Белорецкий переулок, 12|55.119121, 61.373242|1|126
|1-й Белорецкий переулок, 13|55.118709, 61.373331|1|127
|1-й Белорецкий переулок, 14|55.118884, 61.373017|1|128
|1-й Белорецкий переулок, 2|55.119739, 61.37432|1|129
|1-й Белорецкий переулок, 3|55.119445, 61.374418|1|130
|1-й Белорецкий переулок, 4|55.119589, 61.374095|1|131
|1-й Белорецкий переулок, 5|55.119306, 61.374239|1|132
|1-й Белорецкий переулок, 6|55.119445, 61.373897|1|133
|1-й Белорецкий переулок, 7|55.119157, 61.374023|1|134
|1-й Белорецкий переулок, 8|55.119301, 61.373682|1|135
|1-й Белорецкий переулок, 9|55.119033, 61.373808|1|136
|1-й Брестский переулок, 1|55.122668, 61.456497|1|137
|1-й Брестский переулок, 3|55.122462, 61.45683|1|138
|1-й Брестский переулок, 5|55.122256, 61.45718|1|139
|1-й Брестский переулок, 7|55.122102, 61.457432|1|140
|1-й Брестский переулок, 9|55.121947, 61.457881|1|141
|1-й Бульварный переулок, 1|55.195873, 61.471517|1|142
|1-й Бульварный переулок, 1А|55.195611, 61.471886|1|143
|1-й Бульварный переулок, 2|55.196053, 61.472757|1|144
|1-й Бульварный переулок, 4|55.19612, 61.47202|1|145
|1-й Бульварный переулок, 6|55.196238, 61.471571|1|146
|1-й Бульварный переулок, 8|55.196351, 61.471086|1|147
|1-й Бытовой переулок, 1|55.189043, 61.477725|1|148
|1-й Бытовой переулок, 11|55.187959, 61.478398|1|149
|1-й Бытовой переулок, 13|55.187414, 61.478821|1|150
|1-й Бытовой переулок, 15|55.187193, 61.478937|1|151
|1-й Бытовой переулок, 3|55.188874, 61.477841|1|152
|1-й Бытовой переулок, 5|55.188607, 61.477958|1|153
|1-й Бытовой переулок, 7|55.188391, 61.478129|1|154
|1-й Бытовой переулок, 9|55.18817, 61.478264|1|155
|1-й Вагонный переулок, 1|55.122153, 61.429871|1|156
|1-й Вагонный переулок, 10|55.122375, 61.428452|1|157
|1-й Вагонный переулок, 11|55.122081, 61.428174|1|158
|1-й Вагонный переулок, 12|55.122344, 61.428129|1|159
|1-й Вагонный переулок, 13|55.122071, 61.427868|1|160
|1-й Вагонный переулок, 14|55.122323, 61.427814|1|161
|1-й Вагонный переулок, 15|55.122056, 61.427563|1|162
|1-й Вагонный переулок, 16|55.122328, 61.4275|1|163
|1-й Вагонный переулок, 17|55.122045, 61.427293|1|164
|1-й Вагонный переулок, 18|55.122297, 61.427221|1|165
|1-й Вагонный переулок, 19|55.122035, 61.426799|1|166
|1-й Вагонный переулок, 2|55.122426, 61.429871|1|167
|1-й Вагонный переулок, 20|55.122277, 61.426727|1|168
|1-й Вагонный переулок, 21|55.122019, 61.42617|1|169
|1-й Вагонный переулок, 23|55.121994, 61.425874|1|170
|1-й Вагонный переулок, 25|55.121989, 61.425667|1|171
|1-й Вагонный переулок, 27|55.121983, 61.425371|1|172
|1-й Вагонный переулок, 29|55.121963, 61.424895|1|173
|1-й Вагонный переулок, 3|55.122128, 61.429413|1|174
